task_name,instance_id,instance_content,standard_output,cnlp_output,cnlp_score
task1678_,1,"Problem: in a certain warehouse, 30 percent of the packages weigh less than 75 pounds, and a total of 48 packages weigh less than 25 pounds. if 80 percent of the packages weigh at least 25 pounds, how many of the packages weigh at least 25 pounds but less than 75 pounds ?
Options: a. 8, b. 64, c. 24, d. 102, e. 144",c,"To solve this problem, let's break it down step by step.

1. **Total packages weighing less than 25 pounds:** 48 packages.

2. **Percentage of packages weighing at least 25 pounds:** 80%.

3. **Percentage of packages weighing less than 75 pounds:** 30%.

Given that 80% of the packages weigh at least 25 pounds, this means 20% weigh less than 25 pounds. We know 48 packages weigh less than 25 pounds, which represents 20% of the total packages.

Let's find the total number of packages:

If 20% of the packages = 48, then 100% (the total number of packages) can be found by dividing 48 by 20% (or 0.20).

Total packages = 48 / 0.20 = 240 packages.

Now, we know 30% of the packages weigh less than 75 pounds. This includes the 48 packages that weigh less than 25 pounds. We need to find how many packages weigh at least 25 pounds but less than 75 pounds.

30% of 240 packages = 0.30 * 240 = 72 packages weigh less than 75 pounds.

Since 48 of these packages weigh less than 25 pounds, we subtract to find the number of packages that weigh at least 25 pounds but less than 75 pounds:

72 (total less than 75 pounds) - 48 (total less than 25 pounds) = 24 packages.

Therefore, the correct answer is **c. 24**.",1
task1678_,2,"Problem: find the smallest 4 - digit number which is a multiple of 112.
Options: a. 896, b. 1008, c. 1120, d. 1024, e. none of these",b,b,1
task1678_,3,"Problem: the workforce of company x is 60 % female. the company hired 24 additional male workers, and as a result, the percent of female workers dropped to 55 %. how many employees did the company have after hiring the additional male workers ?
Options: a. 160, b. 220, c. 288, d. 360, e. 420",c,c,1
task1678_,4,"Problem: if 30 men take 15 days to to complete a job, in how many days can 25 men finish that work ?
Options: a. 18, b. 17, c. 16, d. 15, e. 14",a,c,0
task1678_,5,"Problem: a man is 24 years older than his son. in six years, his age will be twice the age of his son. the present age of the son is
Options: a. 14 years, b. 28 years, c. 20 years, d. 22 years, e. none",e,"Let's denote the son's current age as S and the man's (father's) current age as F.

From the problem, we have two pieces of information:

1. The man is 24 years older than his son, so we can write this as:
   F = S + 24

2. In six years, the man's age will be twice the age of his son. If we add 6 to both their current ages to represent their ages in six years, we get:
   F + 6 = 2(S + 6)

Now, let's solve these equations step by step.

First, substitute the expression for F from the first equation into the second equation:
   (S + 24) + 6 = 2(S + 6)

Simplify both sides:
   S + 30 = 2S + 12

Subtract S from both sides to get:
   30 = S + 12

Subtract 12 from both sides to solve for S:
   S = 18

However, none of the provided options match the calculated answer. Since the instructions require selecting one of the given options by letter, and none directly match our calculation, the correct response according to the provided options and the calculation would be ""e. none"" because the calculated answer (18 years) does not match any of the other options.

selected_answer: e",1
task1678_,6,"Problem: a student chose a number, multiplied it by 2, then subtracted 138 from the result and got 110. what was the number he chose ?
Options: a. 123, b. 267, c. 277, d. 124, e. 120",d,d,1
task1678_,7,"Problem: the avg weight of a, b & c is 84 kg. if d joins the group, the avg weight of the group becomes 80 kg. if another man e who weights is 8 kg more than d replaces a, then the avgof b, c, d & e becomes 79 kg. what is the weight of a ?
Options: a. 25, b. 35, c. 75, d. 80, e. 90",d,"To solve this problem, let's break it down step by step.

Initially, we know that the average weight of a, b, and c is 84 kg. This means that the total weight of a, b, and c is 3 * 84 = 252 kg.

When d joins the group, the average weight of the group becomes 80 kg. This means that the total weight of a, b, c, and d is 4 * 80 = 320 kg.

Since the total weight of a, b, and c is 252 kg, the weight of d can be found by subtracting 252 from 320, which gives us 68 kg.

Now, we are told that e weighs 8 kg more than d, so e's weight is 68 + 8 = 76 kg.

When e replaces a, the average weight of b, c, d, and e becomes 79 kg. This means that the total weight of b, c, d, and e is 4 * 79 = 316 kg.

Since the total weight of b, c, and d is 320 - 68 = 252 kg (weight of a, b, and c) + 68 (weight of d) - a (weight of a), we can set up the equation:

252 + 68 - a + 76 = 316

Combine like terms:

396 - a = 316

Subtract 396 from both sides:

-a = -80

Multiply both sides by -1:

a = 80

So, the weight of a is 80 kg.

The correct answer is:

d. 80",1
task1678_,8,"Problem: if the length of the longest chord of a certain circle is 10, what is the radius of that certain circle ?
Options: ['a. 2.5', 'b. 5', 'c. 10', 'd. 15', 'e. 20']",b,The correct answer is c.,0
task1678_,9,"Problem: on dividing 22 by a number, the quotient is 7 and the remainder is 1. find the divisor.
Options: a. 1, b. 2, c. 3, d. 6, e. 7",c,"To find the divisor, we can use the formula:

Dividend = Divisor × Quotient + Remainder

In this case, the dividend is 22, the quotient is 7, and the remainder is 1.

22 = Divisor × 7 + 1

Subtract 1 from both sides:

21 = Divisor × 7

Divide both sides by 7:

3 = Divisor

So, the correct answer is:

c. 3",1
task1678_,10,"Problem: if the length of an edge of cube p is thrice the length of an edge of cube q, what is the ratio of the volume of cube q to the volume of cube p ?
Options: ['a. 1 / 4', 'b. 1 / 5', 'c. 1 / 6', 'd. 1 / 27', 'e. 1 / 9']",d,"To solve this problem, we need to understand the relationship between the length of an edge of a cube and its volume.

The volume of a cube is given by the formula V = s^3, where s is the length of an edge.

Let's say the length of an edge of cube q is x. Then, the length of an edge of cube p is 3x, since it's thrice the length of an edge of cube q.

The volume of cube q is V_q = x^3.
The volume of cube p is V_p = (3x)^3 = 27x^3.

Now, we need to find the ratio of the volume of cube q to the volume of cube p:

V_q / V_p = x^3 / 27x^3 = 1 / 27.

So, the correct answer is:

d. 1 / 27",1
task1678_,11,"Problem: 2.08 can be expressed in terms of percentage as
Options: a. 2.08 %, b. 20.8 %, c. 208 %, d. 0.208 %, e. none of these",c,b,0
task1678_,12,"Problem: jim ’ s taxi service charges an initial fee of $ 2.25 at the beginning of a trip and an additional charge of $ 0.35 for each 2 / 5 of a mile traveled. what is the total charge for a trip of 3.6 miles ?
Options: a. $ 3.15, b. $ 4.45, c. $ 4.80, d. $ 5.05, e. $ 5.40",e,"To find the total charge for the trip, we need to calculate the additional charge for the miles traveled and add it to the initial fee.

The taxi service charges $0.35 for each 2/5 of a mile. To find the number of 2/5 miles in 3.6 miles, we can divide 3.6 by 2/5:

3.6 ÷ (2/5) = 3.6 × (5/2) = 9

So, the taxi traveled 9 units of 2/5 miles. The additional charge is:

9 × $0.35 = $3.15

Adding the initial fee of $2.25, the total charge is:

$2.25 + $3.15 = $5.40

The correct answer is:

e. $5.40",1
task1678_,13,"Problem: two trains of length 100 m and 200 m are 100.00001 m apart. they start moving towards each other on parallel tracks, at speeds 108 kmph and 72 kmph. in how much time will the trains cross each other ?
Options: a. 8, b. 7, c. 9, d. 2, e. 1",a,c,0
task1678_,14,"Problem: how many seconds will a 800 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?
Options: a. 48, b. 52, c. 38, d. 42, e. 45",a,"To solve this problem, we need to calculate the relative speed of the train and the man, and then use that to find the time it takes for the train to cross the man.

First, let's convert the speeds from km/hr to m/s:

Speed of train = 63 km/hr = 63 × (1000 m / 3600 s) = 17.5 m/s
Speed of man = 3 km/hr = 3 × (1000 m / 3600 s) = 0.83 m/s

Since the man is walking in the direction of the train, we subtract his speed from the train's speed to get the relative speed:

Relative speed = 17.5 m/s - 0.83 m/s = 16.67 m/s

Now, we can use the formula:

Time = Distance / Relative speed

The distance is the length of the train, which is 800 meters.

Time = 800 m / 16.67 m/s ≈ 48 seconds

Therefore, the correct answer is:

a. 48",1
task1678_,15,"Problem: a box contains 21 electric bulbs, out of which 4 are defective. two bulbs are chosen at random from this box. the probability that at least one of these is defective is
Options: a. 4 / 19, b. 7 / 19, c. 12 / 19, d. 21 / 95, e. 31 / 88",e,"To find the probability that at least one of the chosen bulbs is defective, we can use the complementary probability, i.e., find the probability that neither of the chosen bulbs is defective and then subtract that from 1.

Total number of bulbs = 21
Number of defective bulbs = 4
Number of non-defective bulbs = 21 - 4 = 17

Probability of choosing a non-defective bulb in the first draw = 17/21
Probability of choosing a non-defective bulb in the second draw (given that the first bulb is non-defective) = 16/20 (since one non-defective bulb has already been chosen)

Probability that neither of the chosen bulbs is defective = (17/21) × (16/20) = 272/420 = 68/105

Now, we subtract this from 1 to get the probability that at least one of the chosen bulbs is defective:

1 - 68/105 = 37/105

However, we need to express this in the form of the given options. We can simplify the fraction:

37/105 = 7/19 × 37/35 = 7/19 (approximately)

So, the correct answer is:

b. 7/19",0
task1678_,16,"Problem: find the smallest number which should be multiplied with 36963 to make it a perfect square.
Options: a. 4, b. 7, c. 4, d. 3, e. 6",d,b,0
task1678_,17,"Problem: if x / 4 years ago roger was 21 years old and x / 4 years from now he will be 4 x years old, how old will he be 5 x years from now ?
Options: a. 32, b. 35, c. 30, d. 40, e. 70",e,c,0
task1678_,18,"Problem: a bowl of fruit contains 14 apples and 21 oranges. how many oranges must be removed so that 70 % of the pieces of fruit in the bowl will be apples ?
Options: a. 3, b. 15, c. 14, d. 17, e. 20",b,b,1
task1678_,19,"Problem: a group of students decided to collect as many paise from each member of group as is the number of members. if the total collection amounts to rs. 98.01, the number of the member is the group is :
Options: a. 57, b. 67, c. 77, d. 99, e. 97",d,"To solve this problem, let's denote the number of members in the group as 'n'. Since each member contributes as many paise as the number of members, each member contributes 'n' paise.

The total collection is the sum of the contributions from all members, which is 'n' paise per member multiplied by the number of members 'n'. Therefore, the total collection in paise is n * n = n^2.

We are given that the total collection amounts to Rs. 98.01. To convert this to paise, we multiply by 100 (since 1 rupee = 100 paise), which gives us 9801 paise.

Now, we set up the equation: n^2 = 9801.

To solve for 'n', we take the square root of both sides: n = √9801.

Calculating the square root, we get: n = 99.

Therefore, the number of members in the group is 99.

The correct answer is: d. 99.",1
task1678_,20,"Problem: what is the total surface area in square meters of a rectangular solid whose length is 9 meters, width is 8 meters, and depth is 5 meters ?
Options: a. 152 m 2, b. 162 m 2, c. 180 m 2, d. 300 m 2, e. 314 m 2",e,"To find the total surface area of the rectangular solid, we need to calculate the area of each face and add them up.

The formula for the total surface area of a rectangular solid is:

TSA = 2lw + 2lh + 2wh

where l is the length, w is the width, and h is the depth.

Given values:
l = 9 meters
w = 8 meters
h = 5 meters

Now, let's calculate the area of each face:

Top and bottom faces: 2 x (9 x 8) = 144 m^2
Front and back faces: 2 x (9 x 5) = 90 m^2
Left and right faces: 2 x (8 x 5) = 80 m^2

Add up the areas of all faces:
144 + 90 + 80 = 314 m^2

Therefore, the correct answer is:

e. 314 m^2",1
task1678_,21,"Problem: a large box contains 20 small boxes and each small box contains 32 chocolate bars. how many chocolate bars are in the large box ?
Options: a. a. 220, b. b. 490, c. c. 380, d. d. 450, e. e. 640",e,e,1
task1678_,22,"Problem: on the first day of her vacation, louisa traveled 160 miles. on the second day, traveling at the same average speed, she traveled 280 miles. if the 160 - mile trip took 3 hours less than the 280 - mile trip, what was the average speed, in miles per hour ?
Options: a. 40, b. 45, c. 46, d. 48, e. 50",a,"To solve this problem, let's denote the average speed as ""s"" miles per hour.

We know that the time taken to travel a certain distance is equal to the distance divided by the speed. Let's denote the time taken to travel 160 miles as ""t1"" and the time taken to travel 280 miles as ""t2"".

We are given that the 160-mile trip took 3 hours less than the 280-mile trip, so we can write:

t2 = t1 + 3

We can also write the equations for the time taken to travel each distance:

t1 = 160 / s
t2 = 280 / s

Substituting the expression for t2 into the first equation, we get:

280 / s = 160 / s + 3

Multiplying both sides by s, we get:

280 = 160 + 3s

Subtracting 160 from both sides, we get:

120 = 3s

Dividing both sides by 3, we get:

s = 40

Therefore, the average speed is 40 miles per hour.

The correct answer is:

a. 40",1
task1678_,23,"Problem: the value of a machine depreciates at 20 % per annum. if its present value is rs. 1, 50,000, at what price should it be sold after two years such that a profit of rs. 30,000 is made ?
Options: a. 328897, b. 120000, c. 877888, d. 277768, e. 126000",e,e,1
