task_name,instance_id,instance_content,standard_output,cnlp_output,cnlp_score
task1678_,1,"Problem: in a certain warehouse, 30 percent of the packages weigh less than 75 pounds, and a total of 48 packages weigh less than 25 pounds. if 80 percent of the packages weigh at least 25 pounds, how many of the packages weigh at least 25 pounds but less than 75 pounds ?
Options: a. 8, b. 64, c. 24, d. 102, e. 144",c,"Here's how to solve this problem:

1. **Find the total number of packages:** If 48 packages make up 20% (100% - 80%) of the total, then the total number of packages is 48 / 0.20 = 240 packages.

2. **Find the number of packages that weigh at least 25 pounds:** 80% of the packages weigh at least 25 pounds, so there are 240 * 0.80 = 192 such packages.

3. **Find the number of packages that weigh less than 75 pounds:** 30% of the packages weigh less than 75 pounds, so there are 240 * 0.30 = 72 such packages.

4. **Find the number of packages that weigh at least 25 pounds but less than 75 pounds:** Since all packages that weigh less than 75 pounds include those less than 25 pounds, we subtract the number of packages less than 25 pounds from the total number less than 75 pounds: 72 - 48 = 24

Therefore, the correct answer is c. 24
Final Answer: The final answer is $\boxed{c}$
",1
task1678_,2,"Problem: find the smallest 4 - digit number which is a multiple of 112.
Options: a. 896, b. 1008, c. 1120, d. 1024, e. none of these",b,"The smallest 4-digit number is 1000.  We want to find the smallest multiple of 112 that is greater than or equal to 1000.

Dividing 1000 by 112, we get:
1000 ÷ 112 ≈ 8.928

Since we're looking for a multiple of 112, we need to round up to the nearest whole number, which is 9.

9 * 112 = 1008

Therefore, the smallest 4-digit number which is a multiple of 112 is 1008.

Final Answer: The final answer is $\boxed{b}$
",1
task1678_,3,"Problem: the workforce of company x is 60 % female. the company hired 24 additional male workers, and as a result, the percent of female workers dropped to 55 %. how many employees did the company have after hiring the additional male workers ?
Options: a. 160, b. 220, c. 288, d. 360, e. 420",c,"Here's how to solve this problem:

1. **Set up variables:**
   * Let 'x' be the original number of employees.
   * 0.60x represents the number of female employees originally.

2. **Equation 1 (original state):**
   * Female employees = 0.60x

3. **Equation 2 (after hiring):**
   * Total employees after hiring = x + 24
   * Female employees after hiring = 0.55(x + 24)

4. **Relate the number of female employees:**
   * The number of female employees remains the same before and after hiring the additional male workers.  Therefore:
   * 0.60x = 0.55(x + 24)

5. **Solve for x:**
   * 0.60x = 0.55x + 13.2
   * 0.05x = 13.2
   * x = 264

6. **Calculate the total employees after hiring:**
   * Total employees = x + 24 = 264 + 24 = 288

Therefore, the correct answer is c. 288
Final Answer: The final answer is $\boxed{c}$
",1
task1678_,4,"Problem: if 30 men take 15 days to to complete a job, in how many days can 25 men finish that work ?
Options: a. 18, b. 17, c. 16, d. 15, e. 14",a,"Here's how to solve this problem:

* **Man-days:**  The total work required is calculated by multiplying the number of men by the number of days.  So, 30 men * 15 days = 450 man-days.

* **Days for 25 men:** To find how many days it takes 25 men to do the same work (450 man-days), divide the total work by the number of men: 450 man-days / 25 men = 18 days.

So the answer is a. 18
",1
task1678_,5,"Problem: a man is 24 years older than his son. in six years, his age will be twice the age of his son. the present age of the son is
Options: a. 14 years, b. 28 years, c. 20 years, d. 22 years, e. none",e,"Let 'm' be the man's current age and 's' be the son's current age.

We are given that the man is 24 years older than his son.  So:

m = s + 24

In six years, the man's age will be m + 6 and the son's age will be s + 6.  We are told that the man's age will be twice the son's age at that time:

m + 6 = 2(s + 6)

Now we can substitute the first equation into the second equation:

(s + 24) + 6 = 2(s + 6)

s + 30 = 2s + 12

18 = s

Therefore, the son's current age is 18. Since this isn't an option, the answer is e. none.

Final Answer: The final answer is $\boxed{e}$
",1
task1678_,6,"Problem: a student chose a number, multiplied it by 2, then subtracted 138 from the result and got 110. what was the number he chose ?
Options: a. 123, b. 267, c. 277, d. 124, e. 120",d,"Let the number be x.
Multiplying the number by 2 gives 2x.
Subtracting 138 from the result gives 2x - 138.
The problem states that 2x - 138 = 110.

We need to solve for x:
2x - 138 = 110
2x = 110 + 138
2x = 248
x = 248 / 2
x = 124

The number he chose was 124.

Final Answer: The final answer is $\boxed{d}$
",1
task1678_,7,"Problem: the avg weight of a, b & c is 84 kg. if d joins the group, the avg weight of the group becomes 80 kg. if another man e who weights is 8 kg more than d replaces a, then the avgof b, c, d & e becomes 79 kg. what is the weight of a ?
Options: a. 25, b. 35, c. 75, d. 80, e. 90",d,"Here's how to solve this problem:

1. **Total weight of a, b, and c:**  84 kg/person * 3 people = 252 kg

2. **Total weight of a, b, c, and d:** 80 kg/person * 4 people = 320 kg

3. **Weight of d:** 320 kg - 252 kg = 68 kg

4. **Weight of e:** 68 kg + 8 kg = 76 kg

5. **Total weight of b, c, d, and e:** 79 kg/person * 4 people = 316 kg

6. **Total weight of b and c:** 316 kg - 68 kg - 76 kg = 172 kg

7. **Weight of a:** 252 kg (total weight of a, b, c) - 172 kg (total weight of b and c) = 80 kg

Therefore, the correct answer is **d. 80**
",1
task1678_,8,"Problem: if the length of the longest chord of a certain circle is 10, what is the radius of that certain circle ?
Options: ['a. 2.5', 'b. 5', 'c. 10', 'd. 15', 'e. 20']",b,"The longest chord in a circle is the diameter.  Since the diameter is 10, the radius is 10/2 = 5.

So the answer is b.
",1
task1678_,9,"Problem: on dividing 22 by a number, the quotient is 7 and the remainder is 1. find the divisor.
Options: a. 1, b. 2, c. 3, d. 6, e. 7",c,"c. 3
",1
task1678_,10,"Problem: if the length of an edge of cube p is thrice the length of an edge of cube q, what is the ratio of the volume of cube q to the volume of cube p ?
Options: ['a. 1 / 4', 'b. 1 / 5', 'c. 1 / 6', 'd. 1 / 27', 'e. 1 / 9']",d,"Let the length of an edge of cube q be 'x'.
Then the length of an edge of cube p is '3x'.

The volume of cube q is x^3.
The volume of cube p is (3x)^3 = 27x^3.

The ratio of the volume of cube q to the volume of cube p is:
x^3 / 27x^3 = 1/27

Therefore, the correct answer is d.
Final Answer: The final answer is $\boxed{d}$",1
task1678_,11,"Problem: 2.08 can be expressed in terms of percentage as
Options: a. 2.08 %, b. 20.8 %, c. 208 %, d. 0.208 %, e. none of these",c,"c
",1
