task_name,instance_id,instance_content,standard_output,cnlp_output,cnlp_score
task190_,1,Sentence 1: This guy is visiting with someone in their car. Sentence 2: The guy visits a man.,C,N,0
task190_,2,Sentence 1: A man in a red striped shirt and vest making food for sale. Sentence 2: man selling delicious food,N,E,0
task190_,3,Sentence 1: A black-haired man dressed in black is blowing into an object while situated next to someone in pink. Sentence 2: A man is blowing dust off an object.,N,N,1
task190_,4,Sentence 1: A man laying on the floor as he works on an unfinished wooden chair with a tool on the ground. Sentence 2: A man is standing on a recliner.,C,C,1
task190_,5,Sentence 1: Two men stop to talk near a sign outside. Sentence 2: Two men talk near the stop sign.,N,E,0
task190_,6,"Sentence 1: Two men in black jumped with arms raised on a tennis court, as the opposing team in white walk towards the net. Sentence 2: Two men in white jump.",C,"The relationship between the two sentences is neutral (N). 

Sentence 1 describes two men in black jumping on a tennis court while the opposing team in white walks towards the net, while Sentence 2 states that two men in white jump. There is no clear agreement or contradiction between the two sentences; they simply present different scenarios.",0
task190_,7,Sentence 1: A young boy trying to impress his dad by doing yard work. Sentence 2: A young person is working in the yard.,C,"The relationship between the two sentences is neutral (N). 

While both sentences describe a young person working in the yard, Sentence 1 specifies that the boy is trying to impress his dad, which is not mentioned in Sentence 2. Therefore, we cannot definitively say that one entails the other or that they contradict each other.",0
task190_,8,Sentence 1: A man stands on snow and looks out at mountains and forests. Sentence 2: A man is on the snow.,C,E,0
task190_,9,Sentence 1: A plane is flying over a group of people. Sentence 2: A plan crashes into people.,C,C,1
task190_,10,Sentence 1: Blond girl in a yellow-belt martial arts uniform standing in front of a door and carrying a large trophy. Sentence 2: There is a blond girl in martial arts uniform outdoors,C,"The relationship between the two sentences is **N** (Neutral). 

While both sentences mention a blond girl in a martial arts uniform, Sentence 1 specifies that she is indoors and carrying a trophy, while Sentence 2 states she is outdoors. The details do not clearly agree or contradict each other, leading to a neutral classification.",0
task190_,11,Sentence 1: Many people at an outdoor gathering with a guy and girl in the foreground. Sentence 2: No one decided to come to the planned gathering.,C,C,1
task190_,12,Sentence 1: A girl in a pink shirt playing with a green ball. Sentence 2: The small girl is having old fashioned fun.,C,N,0
task190_,13,Sentence 1: A man wearing a red shirt is using the first in a series of five ATM booths. Sentence 2: A man is inside a bank talking to a teller,C,N,0
task190_,14,Sentence 1: A wedding is setup in a tropical area. Sentence 2: a wedding is all set up,C,E,0
task190_,15,Sentence 1: A child is looking up at an adult while sitting in a stroller on a city sidewalk. Sentence 2: The child is sitting in a stroller.,C,E,0
task190_,16,Sentence 1: A man in a cast uses a camcorder while another man watches him. Sentence 2: Both men are asleep.,C,C,1
task190_,17,Sentence 1: A man in a long-sleeve shirt and jeans plays basketball. Sentence 2: The man is wearing swim trunks.,C,C,1
task190_,18,Sentence 1: A woman aims a sledgehammer to break a concrete block placed on a man's stomach while children watch. Sentence 2: A woman aims a chainsaw to break a block of wood placed on a man's stomach while children watch.,C,C,1
task190_,19,Sentence 1: A man pushes a cart of bananas down the street. Sentence 2: A man is pushing a cart of fruit.,C,N,0
task190_,20,Sentence 1: A boy is riding on an orange bodyboard in the ocean. Sentence 2: A boy is playing in the ocean,N,"The relationship between the two sentences is neutral (N). While both sentences involve a boy in the ocean, they describe different activities, and it's unclear if one entails or contradicts the other.",1
task190_,21,Sentence 1: Two men in black jackets stand in a small boat in the water. Sentence 2: There are three men wearing blue jackets.,C,C,1
task190_,22,Sentence 1: A crowd is watching a man surf. Sentence 2: A crowd is enjoying the man,N,N,1
task190_,23,Sentence 1: An old woman with a cane sits on a red bench. Sentence 2: There is a person sitting.,C,N,0
task190_,24,"Sentence 1: Two men and a woman in shorts and hiking gear stand in the snow before a large green sign with a smaller sign saying ""Danger"" on top. Sentence 2: Two people wearing shorts and hiking gear stand in snow next to a sign declaring ""Danger"".",C,E,0
task190_,25,Sentence 1: A group of men stand at the back of an open semi-truck with dollies. Sentence 2: Some men from a company are moving merchandise into a truck,N,"The relationship between the two sentences is **Neutral (N)**. 

While both sentences involve men and a truck, they do not clearly agree or contradict each other. Sentence 1 describes men standing at the back of a truck with dollies, while Sentence 2 mentions men moving merchandise into a truck. The specific actions and context differ, making it impossible to determine a clear relationship.",1
